,0
1442,GRPN
1443,IVAC
1444,HABT
1445,REV
1446,DLX
1447,LPLA
1448,RAVE
1449,TRUP
1450,AGLE
1451,HRTG
1452,LNGG
1453,ISBC
1454,PK
1455,KEM
1456,PBH
1457,LOGM
1458,DRAD
1459,WWE
1460,FIT
1461,PTN
1462,INTT
1463,CARG
1464,FMSA
1465,WHG
1466,WBMD
1467,TLRA
1468,ESDI
1469,IAC
1470,MTCH
1471,ZG
1472,GDDY
1473,RMBL
1474,ANGI
1475,GRMM
1476,NYT
1477,STMP
1478,NXST
1479,SFLY
1480,CARS
1481,TTD
1482,QUOT
1483,SCHL
1484,GCI
1485,BCOR
1486,WIFI
1487,LTRPA
1488,HMHC
1489,WEB
1490,TCX
1491,XOXO
1492,TTGT
1493,HMTV
1494,EVC
1495,BBGI
1496,SGA
1497,Mark
1498,LFGR
1499,MEET
1500,LEE
1501,ASPU
1502,NLN
1503,DHX
1504,RLJE
1505,MNI
1506,TGLO
1507,AMCI
1508,OPRX
1509,GSEG
1510,LIVE
1511,ACLZ
1512,IPDN
1513,CTOP
1514,TCNT
1515,JBCT
1516,RIHT
1517,VAPE
1518,CMLS
1519,MJTK
1520,MMEG
1521,MSGO
1522,SANP
1523,UOLI
1524,SIGN
1525,WESC
1526,MAXD
1527,PEDH
1528,MXMG
1529,AJBI
1530,RAVN
1531,CDR
1532,BFS
1533,AKR
1534,ALEX
1535,PESI
1536,MECK
1537,OMGB
1538,JOUT
1539,FLLZ
1540,CMND
1541,GDI
1542,TUES
1543,PBYI
1544,UPLD
1545,CKP
1546,TRC
1547,BPL
1548,TWLO
1549,HDP
1550,LBTYA
1551,ARS
1552,WGO
1553,ACLS
1554,ACW
1555,ASTC
1556,AKS
1557,AIR
1558,SHLM
1559,AAOI
1560,INCY
1561,VOXX
1562,BXC
1563,CRUS
1564,ENR
1565,ARCW
1566,DXPE
1567,IRBT
1568,ADNT
1569,BSET
1570,PRTS
1571,LIVN
1572,BHGE
1573,FNJN
1574,JILL
1575,LYV
1576,JACK
1577,ULH
1578,CDW
1579,RUBI
1580,AHS
1581,ATRO
1582,SVU
1583,HFC
1584,BBSI
1585,SAFM
1586,FSI
1587,HNRG
1588,AVGO
1589,ALTR
1590,TPX
1591,GBT
1592,OMF
1593,PAH
1594,BMS
1595,WPTH
1596,NATR
1597,SSP
1598,IFON
1599,QSIM
1600,PRLE
1601,HCOM
1602,ARMK_old
1603,CMRO
1604,TXMD
1605,LHCG
1606,TYL
1607,TNDM
1608,SYNT
1609,KHC
1610,FND
1611,MDXG
1612,ITRI
1613,AMKR
1614,TIS
1615,FNKO
1616,ZAYO
1617,AYX
1618,BHF
1619,ACY
1620,MB
1621,EGY
1622,WLK
1623,BCPC
1624,TRU
1625,UPL
1626,CSS
1627,FC
1628,HTGM
1629,ADVM
1630,IMO
1631,AXTA
1632,IMMY
1633,AVA
1634,MGEE
1635,OTTR
1636,DYN
1637,AXTI
1638,UTL
1639,GLBL
1640,NEP
1641,CQH
1642,CCH
1643,CQP
1644,LEVB
1645,LEVI
1646,MBOT
1647,MICR
1648,MICT
1649,CNXT
1650,OUT
1651,ASCMA
1652,SIVB
1653,HEMA
1654,OKTA
1655,HTM
1656,AGR
1657,EE
1658,VEC
1659,CGNX
1660,CRY
1661,FRP
1662,DATA
1663,RHE
1664,OTEX
1665,MFON
1666,SAM
1667,CNDT
1668,NCMI
1669,GHC
1670,QSR
1671,EPE
1672,UIS
1673,RFP
1674,CVNA
1675,IBKR
1676,MDB
1677,JBLU
1678,X
1679,NANO
1680,SSNC
1681,APU
1682,CORT
1683,VGR
1684,KRO
1685,PGC
1686,REED
1687,JSDA
1688,COT
1689,SSYS
1690,CUB
1691,HSII
1692,INTL
1693,NOVT
1694,OFLX
